column_name,dtype_train,unique_including_null_train,unique_non_null_train,null_percent_train,mean_train,median_train,std_train,min_train,max_train,dtype_test,unique_including_null_test,unique_non_null_test,null_percent_test,mean_test,median_test,std_test,min_test,max_test,present_in_train,present_in_test,dtype_mismatch,unique_non_null_gap_test_minus_train,null_gap_test_minus_train,mean_gap_test_minus_train,median_gap_test_minus_train,std_gap_test_minus_train,min_gap_test_minus_train,max_gap_test_minus_train,max_null_percent,has_difference
acc_now_delinq,float64,7,6,0.01,0.004002076103788031,0.0,0.06863665297806196,0.0,5.0,float64,8,8,0.0,0.006086512544675192,0.0,0.08648173689660583,0.0,14.0,True,True,False,2,-0.01,0.0020844364408871604,0.0,0.017845083918543878,0.0,9.0,0.01,True
acc_open_past_24mths,float64,40,39,10.73,4.198555219491804,4.0,2.7868782242069274,0.0,53.0,float64,47,47,0.0,4.664999584416818,4.0,3.1953795748105325,0.0,64.0,True,True,False,8,-10.73,0.46644436492501384,0.0,0.40850135060360504,0.0,11.0,10.73,True
annual_inc,float64,31902,31901,0.0,73277.42531773623,63000.0,54963.539224058484,1896.0,7500000.0,float64,26903,26903,0.0,76965.60866260584,65000.0,73949.9614686493,0.0,9500000.0,True,True,False,-4998,0.0,3688.1833448696125,2000.0,18986.422244590816,-1896.0,2000000.0,0.0,True
avg_cur_bal,float64,55979,55978,15.07,13568.623635413222,7619.0,16167.024201362901,0.0,958084.0,float64,56003,56003,0.0,13104.784720787471,7262.0,15671.803897294632,0.0,555925.0,True,True,False,25,-15.07,-463.8389146257505,-357.0,-495.2203040682689,0.0,-402159.0,15.07,True
bc_open_to_buy,float64,47224,47223,11.58,8375.857801558637,3581.0,13284.315794163722,0.0,497445.0,float64,51128,51127,0.94,9636.063991734032,4366.0,14774.166134016163,0.0,559912.0,True,True,False,3904,-10.64,1260.206190175395,785.0,1489.8503398524408,0.0,62467.0,11.58,True
bc_util,float64,1294,1293,11.64,65.60219644200664,70.4,26.315658323234143,0.0,339.6,float64,1321,1320,1.0,62.22813624456662,65.8,27.576378149942293,0.0,318.2,True,True,False,27,-10.64,-3.3740601974400235,-4.6000000000000085,1.2607198267081507,0.0,-21.400000000000034,11.64,True
chargeoff_within_12_mths,float64,9,8,0.03,0.007542765938276319,0.0,0.09802912619980508,0.0,7.0,float64,10,10,0.0,0.01042045144207364,0.0,0.11701947646966886,0.0,10.0,True,True,False,2,-0.03,0.002877685503797321,0.0,0.018990350269863773,0.0,3.0,0.03,True
collection_recovery_fee,float64,29219,29219,0.0,15.020892372723646,0.0,104.21390449321078,0.0,7002.19,float64,2871,2871,0.0,2.956865378833312,0.0,43.20445279344197,0.0,3092.877,True,True,False,-26348,0.0,-12.064026993890334,0.0,-61.0094516997688,0.0,-3909.3129999999996,0.0,True
collections_12_mths_ex_med,float64,10,9,0.03,0.009085214376734986,0.0,0.10864814744852587,0.0,20.0,float64,10,10,0.0,0.020240088341110674,0.0,0.1575055085298308,0.0,14.0,True,True,False,1,-0.03,0.011154873964375688,0.0,0.04885736108130494,0.0,-6.0,0.03,True
delinq_2yrs,float64,25,24,0.01,0.2846857319338221,0.0,0.7973740002165846,0.0,29.0,float64,26,26,0.0,0.34739666821026133,0.0,0.9276953865649411,0.0,39.0,True,True,False,2,-0.01,0.06271093627643926,0.0,0.13032138634835655,0.0,10.0,0.01,True
delinq_amnt,float64,728,727,0.01,8.544707007708178,0.0,534.5365729651376,0.0,70076.0,float64,927,927,0.0,13.765183628397393,0.0,781.8211067020767,0.0,159177.0,True,True,False,200,-0.01,5.220476620689215,0.0,247.28453373693912,0.0,89101.0,0.01,True
dti,float64,3997,3997,0.0,17.218746844754413,16.87,7.851106295300046,0.0,39.99,float64,4086,4086,0.0,19.19598907609922,18.6,23.50403776025146,0.0,9999.0,True,True,False,89,0.0,1.9772422313448068,1.7300000000000004,15.652931464951415,0.0,9959.01,0.0,True
emp_length_years,Float32,12,11,4.51,5.993318557739258,6.0,3.6270415782928467,0.0,10.0,Float32,12,11,5.66,6.02592658996582,6.0,3.709437131881714,0.0,10.0,True,True,False,0,1.1500000000000004,0.0326080322265625,0.0,0.08239555358886719,0.0,0.0,5.66,True
funded_amnt,int64,1354,1354,0.0,14291.804082035313,12000.0,8274.360164375274,500.0,35000.0,int64,1361,1361,0.0,15240.28586186015,14000.0,8571.325901349768,1000.0,35000.0,True,True,False,7,0.0,948.4817798248368,2000.0,296.9657369744946,500.0,0.0,0.0,True
funded_amnt_inv,float64,9838,9838,0.0,14222.33322393536,12000.0,8297.626610678697,0.0,35000.0,float64,1365,1365,0.0,15234.15630677163,14000.0,8567.935723589733,900.0,35000.0,True,True,False,-8473,0.0,1011.8230828362703,2000.0,270.3091129110362,900.0,0.0,0.0,True
has_mths_since_last_delinq,int8,2,2,0.0,0.4630967622944667,0.0,0.49863682603459103,0.0,1.0,int8,2,2,0.0,0.5156389888267493,1.0,0.4997559555816528,0.0,1.0,True,True,False,0,0.0,0.05254222653228258,1.0,0.0011191295470617812,0.0,0.0,0.0,True
has_mths_since_last_major_derog,int8,2,2,0.0,0.212261975993326,0.0,0.4089097554884122,0.0,1.0,int8,2,2,0.0,0.29145204763770644,0.0,0.4544317792289861,0.0,1.0,True,True,False,0,0.0,0.07919007164438044,0.0,0.0455220237405739,0.0,0.0,0.0,True
has_mths_since_last_record,int8,2,2,0.0,0.13433357567335139,0.0,0.3410107263889352,0.0,1.0,int8,2,2,0.0,0.17671784276707156,0.0,0.3814301932417186,0.0,1.0,True,True,False,0,0.0,0.042384267093720174,0.0,0.040419466852783414,0.0,0.0,0.0,True
has_mths_since_recent_bc_dlq,int8,2,2,0.0,0.21234990467244422,0.0,0.4089716143687832,0.0,1.0,int8,2,2,0.0,0.2578990489082036,0.0,0.43747866688585574,0.0,1.0,True,True,False,0,0.0,0.04554914423575937,0.0,0.02850705251707253,0.0,0.0,0.0,True
has_mths_since_recent_revol_delinq,int8,2,2,0.0,0.2985114318005863,0.0,0.4576055134836248,0.0,1.0,int8,2,2,0.0,0.36033911587646494,0.0,0.4800993489032163,0.0,1.0,True,True,False,0,0.0,0.06182768407587863,0.0,0.02249383541959149,0.0,0.0,0.0,True
